headline_id,headline_raw,headline_clean,label,domain,source
SHFN0001,Kasuwar gari ta shirya shirin horas da kananan yan kasuwa ga masu sana'a a Kaduna a wannan mako bayan kammala shirye shirye,kasuwar gari ta shirya shirin horas da kananan yan kasuwa ga masu sana a a kaduna a wannan mako bayan kammala shirye shirye,Real,Business,bbc hausa
SHFN0002,Kungiyar yan kasuwa ta bude rajistar masu sana'a a Nasarawa a karshen mako bayan tattaunawa da masu ruwa da tsaki,kungiyar yan kasuwa ta bude rajistar masu sana a a nasarawa a karshen mako bayan tattaunawa da masu ruwa da tsaki,Real,Business,bbc hausa
SHFN0003,Hukumar kula da kananan sana'o'i ta bude kasuwar baje koli a Jigawa bayan hutun karshen shekara domin inganta ayyuka,hukumar kula da kananan sana o i ta bude kasuwar baje koli a jigawa bayan hutun karshen shekara domin inganta ayyuka,Real,Business,bbc hausa
SHFN0004,Kungiyar yan kasuwa ta shirya shirin bunkasa sana'o'in mata ga masu sana'a a Abuja gabanin damina a matsayin wani bangare na sabon shiri,kungiyar yan kasuwa ta shirya shirin bunkasa sana o in mata ga masu sana a a abuja gabanin damina a matsayin wani bangare na sabon shiri,Real,Business,bbc hausa
SHFN0005,Kasuwar gari ta bude kasuwar baje koli a Zaria bayan hutun karshen shekara a matsayin wani bangare na sabon shiri,kasuwar gari ta bude kasuwar baje koli a zaria bayan hutun karshen shekara a matsayin wani bangare na sabon shiri,Real,Business,bbc hausa
SHFN0006,Hukumar kula da kananan sana'o'i ta bude rajistar masu sana'a a Zamfara a cikin wannan wata domin inganta ayyuka,hukumar kula da kananan sana o i ta bude rajistar masu sana a a zamfara a cikin wannan wata domin inganta ayyuka,Real,Business,dw hausa
SHFN0007,Kasuwar gari ta bude tallafin kayan aiki ga masu sana'a a Daura a ranar Juma'a domin saukaka wa al'umma,kasuwar gari ta bude tallafin kayan aiki ga masu sana a a daura a ranar juma a domin saukaka wa al umma,Real,Business,dw hausa
SHFN0008,Kasuwar gari ta sanar da kasuwar baje koli a Kebbi a ranar Juma'a a matsayin wani bangare na sabon shiri,kasuwar gari ta sanar da kasuwar baje koli a kebbi a ranar juma a a matsayin wani bangare na sabon shiri,Real,Business,dw hausa
SHFN0009,Hukumar kula da kananan sana'o'i ta bude shirin horas da kananan yan kasuwa a Katsina a wannan mako bayan kammala shirye shirye,hukumar kula da kananan sana o i ta bude shirin horas da kananan yan kasuwa a katsina a wannan mako bayan kammala shirye shirye,Real,Business,dw hausa
SHFN0010,Hukumar kula da kananan sana'o'i ta bude tallafin kayan aiki ga masu sana'a a Abuja a ranar Juma'a domin saukaka wa al'umma,hukumar kula da kananan sana o i ta bude tallafin kayan aiki ga masu sana a a abuja a ranar juma a domin saukaka wa al umma,Real,Business,dw hausa
SHFN0011,Kungiyar masu sana'a ta bude rajistar masu sana'a a Bauchi bayan hutun karshen shekara a matsayin wani bangare na sabon shiri,kungiyar masu sana a ta bude rajistar masu sana a a bauchi bayan hutun karshen shekara a matsayin wani bangare na sabon shiri,Real,Business,aminiya
SHFN0012,Kungiyar masu sana'a ta fara tallafin kayan aiki ga masu sana'a a Borno a makon farko na shekara domin saukaka wa al'umma,kungiyar masu sana a ta fara tallafin kayan aiki ga masu sana a a borno a makon farko na shekara domin saukaka wa al umma,Real,Business,aminiya
SHFN0013,Kungiyar masu sana'a ta sanar da kasuwar baje koli a Sokoto a wannan mako bayan kammala shirye shirye,kungiyar masu sana a ta sanar da kasuwar baje koli a sokoto a wannan mako bayan kammala shirye shirye,Real,Business,aminiya
SHFN0014,Ma'aikatar kasuwanci ta shirya rajistar masu sana'a ga masu sana'a a Jigawa a wannan mako domin kara wayar da kai,ma aikatar kasuwanci ta shirya rajistar masu sana a ga masu sana a a jigawa a wannan mako domin kara wayar da kai,Real,Business,aminiya
SHFN0015,Kasuwar gari ta fara rajistar masu sana'a a Gombe a cikin wannan wata a matsayin wani bangare na sabon shiri,kasuwar gari ta fara rajistar masu sana a a gombe a cikin wannan wata a matsayin wani bangare na sabon shiri,Real,Business,min of commerce
SHFN0016,Kasuwar gari ta sanar da shirin bunkasa sana'o'in mata a Kano gabanin damina domin inganta ayyuka,kasuwar gari ta sanar da shirin bunkasa sana o in mata a kano gabanin damina domin inganta ayyuka,Real,Business,min of commerce
SHFN0017,Kasuwar gari ta bude shirin bunkasa sana'o'in mata a Kebbi a wannan mako domin kara wayar da kai,kasuwar gari ta bude shirin bunkasa sana o in mata a kebbi a wannan mako domin kara wayar da kai,Real,Business,min of commerce
SHFN0018,Kasuwar gari ta shirya shirin horas da kananan yan kasuwa ga masu sana'a a Kano gabanin damina bayan tattaunawa da masu ruwa da tsaki,kasuwar gari ta shirya shirin horas da kananan yan kasuwa ga masu sana a a kano gabanin damina bayan tattaunawa da masu ruwa da tsaki,Real,Business,min of commerce
SHFN0019,Kungiyar masu sana'a ta bude rajistar masu sana'a a Katsina a makon farko na shekara bayan tattaunawa da masu ruwa da tsaki,kungiyar masu sana a ta bude rajistar masu sana a a katsina a makon farko na shekara bayan tattaunawa da masu ruwa da tsaki,Real,Business,min of commerce
SHFN0020,Kungiyar yan kasuwa ta bude shirin horas da kananan yan kasuwa a Yobe a ranar Litinin domin taimaka wa jama'a,kungiyar yan kasuwa ta bude shirin horas da kananan yan kasuwa a yobe a ranar litinin domin taimaka wa jama a,Real,Business,min of commerce
SHFN0021,Hukumar kula da kananan sana'o'i ta sanar da rajistar masu sana'a a Minna a ranar Litinin domin saukaka wa al'umma,hukumar kula da kananan sana o i ta sanar da rajistar masu sana a a minna a ranar litinin domin saukaka wa al umma,Real,Business,min of commerce
SHFN0022,Hukumar kula da kananan sana'o'i ta shirya taron tattauna farashin kayan masarufi ga masu sana'a a Daura a makon farko na shekara domin inganta ayyuka,hukumar kula da kananan sana o i ta shirya taron tattauna farashin kayan masarufi ga masu sana a a daura a makon farko na shekara domin inganta ayyuka,Real,Business,min of commerce
SHFN0023,Kasuwar gari ta sanar da shirin bunkasa sana'o'in mata a Bauchi gabanin damina bayan tattaunawa da masu ruwa da tsaki,kasuwar gari ta sanar da shirin bunkasa sana o in mata a bauchi gabanin damina bayan tattaunawa da masu ruwa da tsaki,Real,Business,min of commerce
SHFN0024,Kungiyar yan kasuwa ta sanar da tallafin kayan aiki ga masu sana'a a Nasarawa bayan hutun karshen shekara bayan kammala shirye shirye,kungiyar yan kasuwa ta sanar da tallafin kayan aiki ga masu sana a a nasarawa bayan hutun karshen shekara bayan kammala shirye shirye,Real,Business,daily nig hausa
SHFN0025,Ma'aikatar kasuwanci ta shirya taron tattauna farashin kayan masarufi ga masu sana'a a Nasarawa a wannan mako domin saukaka wa al'umma,ma aikatar kasuwanci ta shirya taron tattauna farashin kayan masarufi ga masu sana a a nasarawa a wannan mako domin saukaka wa al umma,Real,Business,daily nig hausa
SHFN0026,Hukumar kula da kananan sana'o'i ta sanar da taron tattauna farashin kayan masarufi a Azare a farkon watan Janairu bayan zaman tuntuba,hukumar kula da kananan sana o i ta sanar da taron tattauna farashin kayan masarufi a azare a farkon watan janairu bayan zaman tuntuba,Real,Business,daily nig hausa
SHFN0027,Hukumar bunkasa kasuwanci ta bude rajistar masu sana'a a Bauchi a wannan kakar bayan zaman tuntuba,hukumar bunkasa kasuwanci ta bude rajistar masu sana a a bauchi a wannan kakar bayan zaman tuntuba,Real,Business,daily nig hausa
SHFN0028,Kungiyar yan kasuwa ta fara shirin horas da kananan yan kasuwa a Kebbi bayan hutun karshen shekara bayan zaman tuntuba,kungiyar yan kasuwa ta fara shirin horas da kananan yan kasuwa a kebbi bayan hutun karshen shekara bayan zaman tuntuba,Real,Business,daily nig hausa
SHFN0029,Hukumar kula da kananan sana'o'i ta sanar da kasuwar baje koli a Kebbi a karshen mako domin saukaka wa al'umma,hukumar kula da kananan sana o i ta sanar da kasuwar baje koli a kebbi a karshen mako domin saukaka wa al umma,Real,Business,daily nig hausa
SHFN0030,Hukumar kula da kananan sana'o'i ta shirya kasuwar baje koli ga masu sana'a a Adamawa a ranar Litinin domin inganta ayyuka,hukumar kula da kananan sana o i ta shirya kasuwar baje koli ga masu sana a a adamawa a ranar litinin domin inganta ayyuka,Real,Business,daily nig hausa
SHFN0031,Hukumar bunkasa kasuwanci ta bude rajistar masu sana'a a Daura a cikin wannan wata bayan kammala shirye shirye,hukumar bunkasa kasuwanci ta bude rajistar masu sana a a daura a cikin wannan wata bayan kammala shirye shirye,Real,Business,daily nig hausa
SHFN0032,Kungiyar masu sana'a ta shirya shirin horas da kananan yan kasuwa ga masu sana'a a Jigawa a ranar Litinin bayan zaman tuntuba,kungiyar masu sana a ta shirya shirin horas da kananan yan kasuwa ga masu sana a a jigawa a ranar litinin bayan zaman tuntuba,Real,Business,daily nig hausa
SHFN0033,Ma'aikatar kasuwanci ta shirya kasuwar baje koli ga masu sana'a a Daura a wannan mako bayan kammala shirye shirye,ma aikatar kasuwanci ta shirya kasuwar baje koli ga masu sana a a daura a wannan mako bayan kammala shirye shirye,Real,Business,daily nig hausa
SHFN0034,Hukumar bunkasa kasuwanci ta fara kasuwar baje koli a Gusau a cikin wannan wata bayan zaman tuntuba,hukumar bunkasa kasuwanci ta fara kasuwar baje koli a gusau a cikin wannan wata bayan zaman tuntuba,Real,Business,daily nig hausa
